YEARS, KENYA,TANZANIA,UGANDA
1960,7751435,10042458,7617746
1961,8047470,10337891,7838440
1962,8363578,10644622,8068828
1963,8697200,10960161,8311013
1964,9047387,11289556,8564755
1965,9417207,11630603,8829056
1966,9802605,11981932,9104743
1967,10201068,12346286,9393432
1968,10613877,12739965,9696370
1969,11039551,13167782,10006526
1970,11473087,13618192,10317212
1971,11898457,14092218,10616338
1972,12322903,14595699,10885563
1973,12760405,15123504,11146099
1974,13203949,15671316,11428676
1975,13651908,16243826,11730959
1976,14102268,16838919,12045227
1977,14577346,17454627,12369253
1978,15087423,18080005,12701999
1979,15620613,18698636,13011511
1980,16187124,19297659,13284026
1981,16785962,19890930,13563558
1982,17411491,20499922,13880052
1983,18069461,21170717,14228932
1984,18753176,21857176,14617944
1985,19452161,22569625,15038915
1986,20160879,23324270,15486807
1987,20882094,24099415,15974216
1988,21626122,24844147,16489323
1989,22387803,25522898,17028543
1990,23162269,26206012,17586630
1991,23918235,26890906,18171935
1992,24655723,27580723,18801966
1993,25391830,28469017,19462958
1994,26133744,29598323,20125021
1995,26878347,30560071,20680831
1996,27615736,31140733,21249572
1997,28364264,31785846,21876935
1998,29137373,32626498,22537658
1999,29965129,33499772,23279247
2000,30851606,34463704,24020697
2001,31800343,35414469,24763325
2002,32779823,36353531,25545090
2003,33767122,37333918,26354736
2004,34791836,38360879,27146084
2005,35843010,39439505,27946588
2006,36925253,40562052,28773227
2007,38036793,41716497,29629804
2008,39186895,42870884,30509862
2009,40364444,43957933,31412520
2010,41517895,45110527,32341728
2011,42635144,46416031,33295738
2012,43725806,47786137,34273295
2013,44792368,49253643,35273570
2014,45831863,50814552,36336539
2015,46851488,52542823,37477356
2016,47894670,54401802,38748299
2017,48948137,56267032,40127085
2018,49953304,58090443,41515395
2019,50951450,59872579,42949080
2020,51985780,61704518,44404611
2021,53005614,63588334,45853778
2022,54027487,65497748,47249585
